query_case_id,candidate_case_id,bm25_score
599,599,49.31396740451586
599,1207163,27.009592152691194
599,1742283,24.655149466355013
599,264503,24.102087134126517
599,1292810,23.796591545901713
599,1296654,23.19283036794429
599,717481,21.775197584930652
599,175790,21.415885589837824
599,1694314,21.271235801645197
599,468835,20.60245931278321
2886,2886,42.99966469488374
2886,91645,25.92063007809389
2886,1633734,23.13236191357468
2886,592259,21.89781046391849
2886,877318,21.79841823264142
2886,1093075,21.61642140574504
2886,238825,21.418325585794705
2886,502366,21.105927048634086
2886,798843,20.847998043321546
2886,515942,20.637280317733182
9122,9122,52.5365946445087
9122,829198,22.47778261687854
9122,368689,21.68622382064771
9122,1350925,19.84467176335808
9122,407050,19.614348034536672
9122,32908,19.267874375016167
9122,1628129,19.073757659913387
9122,504910,18.86971194292705
9122,1243336,18.704978126136
9122,1029775,18.694449075493093
9256,9256,51.5903684936592
9256,1437558,26.274825160497514
9256,128011,23.09328916443285
9256,984460,21.16924371424472
9256,1806797,19.59009626841829
9256,109902,19.03821569438139
9256,814469,18.75145812920669
9256,845482,18.63362753447684
9256,1912440,17.921851152483153
9256,665431,17.895115158555004
10271,10271,63.158701536080294
10271,1735608,29.323695191696963
10271,1862687,27.55192004106391
10271,949443,26.65209460647099
10271,137587,26.384079508410288
10271,1147147,25.951072220702343
10271,1312126,25.017416689884246
10271,163109,25.011442876249504
10271,922429,25.00645898061361
10271,662142,24.682979157717647
10498,10498,55.32801245292035
10498,26470,26.86457949244256
10498,1002719,26.615091324548374
10498,1742283,26.5021486332028
10498,1292810,26.13901417197934
10498,1694314,25.637713966088896
10498,468835,24.72197315116182
10498,1925650,24.26566013854245
10498,599,23.85316870067282
10498,56258,23.74852252190433
14789,14789,44.22349327053919
14789,975807,14.347754258605935
14789,631746,14.30578483661724
14789,362389,14.257959150523776
14789,758905,13.374684918160154
14789,1064060,12.601803900637178
14789,976179,12.451805553152106
14789,591952,12.44457521108896
14789,506671,12.293773201773574
14789,1075667,11.704115141961124
14936,14936,48.774310509032276
14936,904314,42.474250455395754
14936,630897,18.403908578197886
14936,740212,16.80297783405346
14936,799841,15.035651463684752
14936,1863497,14.036936752791213
